candidate,accession,fsu,organism,label
Ap4,Q9YC10,31000,Aeropyrum pernix,0
Ap6,Q9YFR5,54000,Aeropyrum pernix,0
Ap7,Q9YEN5,25000,Aeropyrum pernix,0
Ap9,Q9YAM9,45000,Aeropyrum pernix,0
Ap10,Q9Y9L9,22000,Aeropyrum pernix,0
Ap11,Q9Y918,47000,Aeropyrum pernix,0
Ap12,Q9Y8L7,101000,Aeropyrum pernix,1
Af1,O30022,31000,Archaeoglobus fulgidus,0
Af3,O29412,46000,Archaeoglobus fulgidus,0
Af4,O29023,34000,Archaeoglobus fulgidus,0
Af8,O29022,25000,Archaeoglobus fulgidus,0
Af9,O28857,34000,Archaeoglobus fulgidus,0
Af10,O28726,118000,Archaeoglobus fulgidus,1
Af11,O28600,72000,Archaeoglobus fulgidus,1
Af12,O28169,22000,Archaeoglobus fulgidus,0
Af15,O29993,23000,Archaeoglobus fulgidus,0
Af16,O29472,61000,Archaeoglobus fulgidus,1
Af17,O29285,65000,Archaeoglobus fulgidus,1
Af19,O30277,34000,Archaeoglobus fulgidus,0
Af20,NP_071083.1,31000,Archaeoglobus fulgidus,0
Af21,NP_069832.1,39000,Archaeoglobus fulgidus,0
Af22,NP_071101.1,23000,Archaeoglobus fulgidus,0
Af23,NP_070962.1,66000,Archaeoglobus fulgidus,1
Af24,NP_070708.1,61000,Archaeoglobus fulgidus,1
Af26,NP_070381.1,41000,Daunorubicin resistance membrane,0
Af27,NP_070263.1,99000,Daunorubicin resistance membrane,1
Af28,NP_069332.1,43000,Daunorubicin resistance membrane,0
Af29,NP_069540.1,23000,Daunorubicin resistance membrane,0
Bh4,Q9KBF6,31000,Bacillus halodurans,0
Bh7,Q9K7W8,46000,Bacillus halodurans,0
Bh8,Q9K7M1,165000,Bacillus halodurans,1
Bh9,Q9K5Q2,26000,Bacillus halodurans,0
Bh10,Q9Z9W7,33000,Bacillus halodurans,0
Ct4,Q8KEM8,82000,Chlorobium tepidium,1
Ct5,Q8KDP0,37000,Chlorobium tepidium,0
Ct6,Q8KC40,150000,Chlorobium tepidium,1
Ct7,Q8KB92,33000,Chlorobium tepidium,0
Ct8,Q8KAY4,130000,Chlorobium tepidium,1
Ct10,Q8KDB0,40000,Chlorobium tepidium,0
Dr1,Q9RXE0,29000,Deinococcus radiodurans,0
Dr2,Q9RWL4,28000,Deinococcus radiodurans,0
Dr5,Q9RRU0,46000,Deinococcus radiodurans,0
Dr10,Q9RXU5,76000,Deinococcus radiodurans,1
Dr17,Q9RVH3,44000,Deinococcus radiodurans,0
Dr18,Q9RV07,43000,Deinococcus radiodurans,0
Dr21,Q9RUQ8,50000,Deinococcus radiodurans,0
Dr24,Q9RSZ8,45000,Deinococcus radiodurans,0
Dr26,Q9RSM6,40000,Deinococcus radiodurans,0
Dr27,Q9RSF5,33000,Deinococcus radiodurans,0
Dr28,Q9RS23,36000,Deinococcus radiodurans,0
Dr29,Q9RS20,29000,Deinococcus radiodurans,0
Dr34,Q9RZS1,66000,Deinococcus radiodurans,1
Dr35,Q9RZF0,82461,Deinococcus radiodurans,1
Dv1,Q728I6,93000,Desulfovibrio vulgaris,1
Dv2,Q729P8,59000,Desulfovibrio vulgaris,0
Dv3,Q72WJ3,57000,Desulfovibrio vulgaris,0
Dv5,Q72EP3,48000,Desulfovibrio vulgaris,0
Dv6,Q72E39,47000,Desulfovibrio vulgaris,0
Dv7,Q72CX0,33000,Desulfovibrio vulgaris,0
Dv8,Q72C49,18000,Desulfovibrio vulgaris,0
Dv9,Q72AU5,52000,Desulfovibrio vulgaris,0
Dv11,Q72C83,28000,Desulfovibrio vulgaris,0
Dv12,Q72AL4,57000,Desulfovibrio vulgaris,0
Dv14,Q72F34,52000,Desulfovibrio vulgaris,0
Dv15,Q726J9,23000,Desulfovibrio vulgaris,0
Dv16,Q72WT3,25000,Desulfovibrio vulgaris,0
Dv18,Q72D72,23000,Desulfovibrio vulgaris,0
Dv19,Q72D38,29000,Desulfovibrio vulgaris,0
Dv20,Q72CX3,50000,Desulfovibrio vulgaris,0
Dv21,Q729P4,22000,Desulfovibrio vulgaris,0
Dv22,Q729B6,36000,Desulfovibrio vulgaris,0
Dv23,Q72CQ2,63000,Desulfovibrio vulgaris,1
Dv24,Q72WF3,34000,Desulfovibrio vulgaris,0
Dv25,YP_011767.1,88000,Desulfovibrio vulgaris,1
Dv26,YP_010408.1,47000,Desulfovibrio vulgaris,0
Dv27,YP_010853.1,29000,Desulfovibrio vulgaris,0
Dv28,YP_011850.1,58000,Desulfovibrio vulgaris,0
Gs2,Q74DW2,27000,Geobacter sulfurreducens,0
Gs3,Q74DW1,24000,Geobacter sulfurreducens,0
Gs5,Q74GI1,20000,Geobacter sulfurreducens,0
Gs6,Q74BA5,83000,Geobacter sulfurreducens,1
Gs7,Q74GR0,26000,Geobacter sulfurreducens,0
Gs10,Q74F57,27000,Geobacter sulfurreducens,0
Gs15,Q749J8,22000,Geobacter sulfurreducens,0
Gs20,Q74CP0,48000,Geobacter sulfurreducens,0
Gs21,Q74CF1,11000,Geobacter sulfurreducens,0
Gs22,Q74B94,39000,Geobacter sulfurreducens,0
Gs25,Q74AJ1,17000,Geobacter sulfurreducens,0
Gs26,Q748H5,55000,Geobacter sulfurreducens,0
Gs27,Q749E9,66000,Geobacter sulfurreducens,1
Oo1,Q04FY2,21000,Oenococcus oeni,0
Oo2,Q04FK1,73000,Oenococcus oeni,1
Oo3,Q04DD4,40000,Oenococcus oeni,0
Oo5,Q04HA9,29000,Oenococcus oeni,0
Oo6,Q04HA7,28000,Oenococcus oeni,0
Oo7,Q04H42,21000,Oenococcus oeni,0
Oo9,Q04GU3,20000,Oenococcus oeni,0
Oo10,Q04GR9,30000,Oenococcus oeni,0
