abbrev,family
Z3-10,propanesulfonate
Z3-12,propanesulfonate
Z3-14,propanesulfonate
DMG,dimethylglycine
DOMG,dimethylglycine
DDAO,amine-oxide
UDAO,amine-oxide
LDAO,amine-oxide
CF-3,fos-choline
CF-4,fos-choline
CF-5,fos-choline
CF-6,fos-choline
CF-7,fos-choline
FC-12,fos-choline
FC-13,fos-choline
FC-14,fos-choline
FC-15,fos-choline
FC-16,fos-choline
FC-I9,fos-choline
FC-I11,fos-choline
FC-U10-11,fos-choline
DHPC,fos-choline
LPC-12,lyso-PC
LPC-14,lyso-PC
CHAPS,zwitterionic
CHAPSO,zwitterionic
LAPAO,amine-oxide
TRIPAO,amine-oxide
T-20,peg
Brij-35,peg
TX-100,peg
TX-114,peg
TX-305,peg
TX-405,peg
NID-P40,peg
LMNG,maltose-NG
OGNG,glucose-NG
DMNG,maltose-NG
CYMAL-5-NG,maltose-NG
CYMAL-6-NG,maltose-NG
GDN,maltose-NG
C6E3,peg
C6E4,peg
C6E5,peg
C7E5,peg
C8E4,peg
C8E5,peg
C8E6,peg
C10E5,peg
C10E6,peg
C10E9,peg
C12E7,peg
C12E8,peg
C12E9,peg
C12E10,peg
C13E8,peg
Ph-Tripglu,glycotripod
Cy-Tripglu,glycotripod
CHAP,zwitterionic
CHAP-D,zwitterionic
HTG,glucoside
OTG,glucoside
OG,glucoside
NG,glucoside
CYGLU-3,glucoside
Anameg-7,glucoside
HEGA-9,glucamide
HEGA-10,glucamide
M9,glucamide
M10,glucamide
OHES,sulfoxide
CYMAL-3,cymal
CYMAL-4,cymal
CYMAL-5,cymal
CYMAL-6,cymal
CYMAL-7,cymal
DMHM,maltoside
PPM,maltoside
OM,maltoside
NM,maltoside
DaM,maltoside
DM,maltoside
UdaM,maltoside
UDM,maltoside
wUDM,maltoside
DdaM,maltoside
DDM,maltoside
TDM,maltoside
OTM,thiomaltoside
NTM,thiomaltoside
DTM,thiomaltoside
UDTM,thiomaltoside
DDTM,thiomaltoside
S-12,sucrose
