split,model,n_train,n_test,pos_rate_train,pos_rate_test,roc_auc,pr_auc,features
random,logreg,1523,653,0.51543007222587,0.5160796324655437,0.8895503887615971,0.8740685271466672,compose
random,rf,1523,653,0.51543007222587,0.5160796324655437,0.9044012695789356,0.8686514435661662,compose
cluster,logreg,2091,85,0.5208034433285509,0.38823529411764707,0.7826340326340325,0.6834730744748507,compose
cluster,rf,2091,85,0.5208034433285509,0.38823529411764707,0.8677156177156178,0.8190962680814782,compose
random,logreg,1523,653,0.51543007222587,0.5160796324655437,0.9516348645907675,0.9412094925791814,esm
random,rf,1523,653,0.51543007222587,0.5160796324655437,0.9017672689028284,0.8742324701565374,esm
cluster,logreg,2091,85,0.5208034433285509,0.38823529411764707,0.8828671328671328,0.8134656477480986,esm
cluster,rf,2091,85,0.5208034433285509,0.38823529411764707,0.835081585081585,0.7429309523898121,esm
random,logreg,1523,653,0.51543007222587,0.5160796324655437,0.951024490102543,0.9338275211187674,both
random,rf,1523,653,0.51543007222587,0.5160796324655437,0.9046548097509672,0.8797290929985867,both
cluster,logreg,2091,85,0.5208034433285509,0.38823529411764707,0.8840326340326341,0.8176890098770246,both
cluster,rf,2091,85,0.5208034433285509,0.38823529411764707,0.8245920745920745,0.725893579776999,both
