split,model,n_train,n_test,pos_rate_train,pos_rate_test,roc_auc,pr_auc,features
random,logreg,2100,900,0.5,0.5,0.5637555555555557,0.5569574689358135,compose
random,rf,2100,900,0.5,0.5,0.666883950617284,0.6282981621235776,compose
center,logreg,1526,1474,0.31389252948885976,0.6926729986431479,0.6205014777962998,0.7816647438859419,compose
center,rf,1526,1474,0.31389252948885976,0.6926729986431479,0.5958459546001951,0.7874219355738322,compose
random,logreg,2100,900,0.5,0.5,0.6882320987654321,0.6823842779904832,esm
random,rf,2100,900,0.5,0.5,0.7439506172839507,0.7080909981916386,esm
center,logreg,1526,1474,0.31389252948885976,0.6926729986431479,0.6560021015625506,0.7809965586700878,esm
center,rf,1526,1474,0.31389252948885976,0.6926729986431479,0.6700384637837207,0.8254123654877626,esm
random,logreg,2100,900,0.5,0.5,0.6884765432098765,0.6838235191137472,both
random,rf,2100,900,0.5,0.5,0.7529135802469136,0.7138250587742855,both
center,logreg,1526,1474,0.31389252948885976,0.6926729986431479,0.65023037190306,0.775147731115301,both
center,rf,1526,1474,0.31389252948885976,0.6926729986431479,0.6808662675427501,0.8335974173986065,both
