split,model,n_train,n_test,pos_rate_train,pos_rate_test,roc_auc,pr_auc,features
random,logreg,2800,1200,0.5,0.5,0.5663819444444445,0.5487287123569269,compose
random,rf,2800,1200,0.5,0.5,0.7161388888888889,0.6856591658944691,compose
organism,logreg,2223,1777,0.3729194781826361,0.658975801913337,0.528571388308771,0.6857121817937601,compose
organism,rf,2223,1777,0.3729194781826361,0.658975801913337,0.5516849720838864,0.7185827467302208,compose
random,logreg,2800,1200,0.5,0.5,0.7278319444444444,0.6788355738246297,esm
random,rf,2800,1200,0.5,0.5,0.7854750000000001,0.7411955351361936,esm
organism,logreg,2223,1777,0.3729194781826361,0.658975801913337,0.6491179860940834,0.7607584666192604,esm
organism,rf,2223,1777,0.3729194781826361,0.658975801913337,0.6030239872834422,0.7596755524150958,esm
random,logreg,2800,1200,0.5,0.5,0.7250458333333334,0.6805685212728885,both
random,rf,2800,1200,0.5,0.5,0.7802555555555556,0.7433091073104924,both
organism,logreg,2223,1777,0.3729194781826361,0.658975801913337,0.6445719294388876,0.7585990782440382,both
organism,rf,2223,1777,0.3729194781826361,0.658975801913337,0.6036884217883787,0.7585073264386943,both
