target,protein,kD,aa,n_tm
1,AroP,50,458,12
2,BglF,66,626,10
3,CcmB,24,221,6
4,CcmC,28,246,6
5,Cmr,44,411,12
6,CodB,44,420,12
7,CreC,52,475,2
8,CybB,20,177,4
9,DcuS,61,544,2
10,FeoB,84,774,10
11,FtsW,46,415,10
12,FtsX,39,353,4
13,GlpT,50,453,12
14,HemY,45,399,2
15,HrsA,70,659,9
16,HtpX,32,294,4
17,Kch,46,418,6
18,KdpD,99,895,4
19,Lgt,33,292,5
20,LspA,18,165,4
21,MdoH,97,848,6
22,MotA,32,296,4
23,MrdB,40,371,9
24,PgpB,29,255,6
25,PheP,51,459,12
26,PhoR,50,432,2
27,PntA,55,511,5
28,PntB,49,463,9
29,PnuC,27,240,7
30,ProP,55,501,12
31,PutP,54,503,12
32,Rbn,33,291,6
33,RfaL,47,420,12
34,Rfe,41,368,11
35,Tap,58,534,2
36,Tar,60,554,2
37,UhpT,51,464,12
38,WcaJ,52,465,6
39,WzxC,54,493,12
40,XasA,55,512,12
41,YbcZ,54,481,2
42,YcdP,16,138,2
43,YcdQ,51,442,6
44,YceJ,21,189,4
45,YdaN,37,328,2
46,YfbF,36,323,2
47,YfeV,50,475,10
48,YgeD,42,398,10
49,YgiY,50,450,2
50,YiaD,22,219,2
51,YihG,36,311,2
52,YiiP,33,301,6
53,YodB,20,177,4
54,ZntA,77,733,6
55,AtpI,14,127,4
56,MreD,19,163,5
57,PgsA,21,183,4
58,CpxA,52,458,2
59,YdgR,54,501,14
60,AmpG,53,492,14
