accession,source,action,p_purify,wrap_score,wrap_amenable,levers,why,detergent_extract,detergent_polish,detergent_rescue,detergent_avoid,detergent_why
NYCOMPS-GO.3101,tt_expressed_not_purified,wrap_rescue,0.4531,0.75,1,add a fusion-able N- or C-terminus,standard purify looks unlikely; termini/TM belt look WRAP-amenable,1% w/v DDM,0.03% w/v DDM (IMAC/SEC),LMNG / DMNG / GDN,fos-choline and PEG as 'stability' detergents (Kotov); glucosides weaker on IMAC (Högbom),Lin/Kotov/Högbom first-line helical IMP extract (DDM)
MPP-GO.121688,tt_expressed_not_purified,standard,0.6296,0.05,0,drop sequons or use a prokaryotic host; reduce disulfides / skip eukaryotic folding; trim a long extramembrane loop,sequence resembles TargetTrack purified (given expression),1% w/v DDM,0.03% w/v DDM (IMAC/SEC),LMNG / DMNG / GDN,fos-choline and PEG as 'stability' detergents (Kotov); glucosides weaker on IMAC (Högbom),Lin/Kotov/Högbom first-line helical IMP extract (DDM)
NYCOMPS-GO.1569,tt_expressed_not_purified,standard,0.5856,0.35,0,trim a long extramembrane loop,sequence resembles TargetTrack purified (given expression),1% w/v DDM,0.03% w/v DDM (IMAC/SEC),LMNG / DMNG / GDN,fos-choline and PEG as 'stability' detergents (Kotov); glucosides weaker on IMAC (Högbom),Lin/Kotov/Högbom first-line helical IMP extract (DDM)
NYCOMPS-GO.6312,tt_expressed_not_purified,wrap_rescue,0.5406,0.75,1,,standard purify looks unlikely; termini/TM belt look WRAP-amenable,1% w/v DDM,0.03% w/v DDM (IMAC/SEC),LMNG / DMNG / GDN,fos-choline and PEG as 'stability' detergents (Kotov); glucosides weaker on IMAC (Högbom),Lin/Kotov/Högbom first-line helical IMP extract (DDM)
NYCOMPS-GO.8587,tt_expressed_not_purified,wrap_rescue,0.5405,0.75,1,trim a long extramembrane loop,standard purify looks unlikely; termini/TM belt look WRAP-amenable,1% w/v DDM,0.03% w/v DDM (IMAC/SEC),LMNG / DMNG / GDN,fos-choline and PEG as 'stability' detergents (Kotov); glucosides weaker on IMAC (Högbom),Lin/Kotov/Högbom first-line helical IMP extract (DDM)
NYCOMPS-GO.8726,tt_expressed_not_purified,wrap_rescue,0.5441,0.75,1,,standard purify looks unlikely; termini/TM belt look WRAP-amenable,1% w/v DDM,0.03% w/v DDM (IMAC/SEC),LMNG / DMNG / GDN,fos-choline and PEG as 'stability' detergents (Kotov); glucosides weaker on IMAC (Högbom),Lin/Kotov/Högbom first-line helical IMP extract (DDM)
MPP-GO.124191,tt_expressed_not_purified,redesign,0.4588,0.15,0,reduce disulfides / skip eukaryotic folding; trim a long extramembrane loop,reduce disulfides / skip eukaryotic folding; trim a long extramembrane loop,1% w/v DDM,0.03% w/v DDM (IMAC/SEC),LMNG / DMNG / GDN,fos-choline and PEG as 'stability' detergents (Kotov); glucosides weaker on IMAC (Högbom),Lin/Kotov/Högbom first-line helical IMP extract (DDM)
MPP-GO.120257,tt_expressed_not_purified,deprioritize,0.4771,0.0,0,,"low purify score, not WRAP-amenable, no obvious construct lever",1% w/v DDM,0.03% w/v DDM (IMAC/SEC),LMNG / DMNG / GDN,fos-choline and PEG as 'stability' detergents (Kotov); glucosides weaker on IMAC (Högbom),Lin/Kotov/Högbom first-line helical IMP extract (DDM)
NYCOMPS-GO.19431,tt_expressed_not_purified,redesign,0.5087,0.0,0,shorten or split the construct; drop sequons or use a prokaryotic host; trim a long extramembrane loop,shorten or split the construct; drop sequons or use a prokaryotic host; trim a long extramembrane loop,1% w/v DDM,0.03% w/v DDM (IMAC/SEC),LMNG / DMNG / GDN,fos-choline and PEG as 'stability' detergents (Kotov); glucosides weaker on IMAC (Högbom),Lin/Kotov/Högbom first-line helical IMP extract (DDM)
MPP-GO.111408,tt_expressed_not_purified,redesign,0.3876,0.15,0,trim a long extramembrane loop,trim a long extramembrane loop,1% w/v DDM,0.03% w/v DDM (IMAC/SEC),LMNG / DMNG / GDN,fos-choline and PEG as 'stability' detergents (Kotov); glucosides weaker on IMAC (Högbom),Lin/Kotov/Högbom first-line helical IMP extract (DDM)
NYCOMPS-GO.9745,tt_expressed_not_purified,redesign,0.4432,0.35,0,trim a long extramembrane loop,trim a long extramembrane loop,1% w/v DDM,0.03% w/v DDM (IMAC/SEC),LMNG / DMNG / GDN,fos-choline and PEG as 'stability' detergents (Kotov); glucosides weaker on IMAC (Högbom),Lin/Kotov/Högbom first-line helical IMP extract (DDM)
NYCOMPS-GO.8403,tt_expressed_not_purified,deprioritize,0.4994,0.15,0,,"low purify score, not WRAP-amenable, no obvious construct lever",1% w/v DDM,0.03% w/v DDM (IMAC/SEC),LMNG / DMNG / GDN,fos-choline and PEG as 'stability' detergents (Kotov); glucosides weaker on IMAC (Högbom),Lin/Kotov/Högbom first-line helical IMP extract (DDM)
NYCOMPS-GO.2606,tt_expressed_not_purified,redesign,0.5119,0.35,0,trim a long extramembrane loop,trim a long extramembrane loop,1% w/v DDM,0.03% w/v DDM (IMAC/SEC),LMNG / DMNG / GDN,fos-choline and PEG as 'stability' detergents (Kotov); glucosides weaker on IMAC (Högbom),Lin/Kotov/Högbom first-line helical IMP extract (DDM)
NYCOMPS-GO.3011,tt_expressed_not_purified,standard,0.5511,0.05,0,drop sequons or use a prokaryotic host; trim a long extramembrane loop,sequence resembles TargetTrack purified (given expression),1% w/v DDM,0.03% w/v DDM (IMAC/SEC),LMNG / DMNG / GDN,fos-choline and PEG as 'stability' detergents (Kotov); glucosides weaker on IMAC (Högbom),Lin/Kotov/Högbom first-line helical IMP extract (DDM)
MPP-GO.118770,tt_expressed_not_purified,deprioritize,0.5039,0.15,0,,"low purify score, not WRAP-amenable, no obvious construct lever",1% w/v DDM,0.03% w/v DDM (IMAC/SEC),LMNG / DMNG / GDN,fos-choline and PEG as 'stability' detergents (Kotov); glucosides weaker on IMAC (Högbom),Lin/Kotov/Högbom first-line helical IMP extract (DDM)
MPP-GO.128389,tt_expressed_not_purified,redesign,0.51,0.15,0,trim a long extramembrane loop,trim a long extramembrane loop,1% w/v DDM,0.03% w/v DDM (IMAC/SEC),LMNG / DMNG / GDN,fos-choline and PEG as 'stability' detergents (Kotov); glucosides weaker on IMAC (Högbom),Lin/Kotov/Högbom first-line helical IMP extract (DDM)
MPP-GO.120245,tt_expressed_not_purified,deprioritize,0.5034,0.0,0,,"low purify score, not WRAP-amenable, no obvious construct lever",1% w/v DDM,0.03% w/v DDM (IMAC/SEC),LMNG / DMNG / GDN,fos-choline and PEG as 'stability' detergents (Kotov); glucosides weaker on IMAC (Högbom),Lin/Kotov/Högbom first-line helical IMP extract (DDM)
NYCOMPS-GO.10052,tt_expressed_not_purified,deprioritize,0.2293,0.35,0,,"low purify score, not WRAP-amenable, no obvious construct lever",1% w/v DDM,0.03% w/v DDM (IMAC/SEC),LMNG / DMNG / GDN,fos-choline and PEG as 'stability' detergents (Kotov); glucosides weaker on IMAC (Högbom),Lin/Kotov/Högbom first-line helical IMP extract (DDM)
NYCOMPS-GO.2527,tt_expressed_not_purified,standard,0.5535,0.35,0,,sequence resembles TargetTrack purified (given expression),1% w/v DDM,0.03% w/v DDM (IMAC/SEC),LMNG / DMNG / GDN,fos-choline and PEG as 'stability' detergents (Kotov); glucosides weaker on IMAC (Högbom),Lin/Kotov/Högbom first-line helical IMP extract (DDM)
NYCOMPS-GO.13924,tt_expressed_not_purified,redesign,0.4859,0.35,0,trim a long extramembrane loop,trim a long extramembrane loop,1% w/v DDM,0.03% w/v DDM (IMAC/SEC),LMNG / DMNG / GDN,fos-choline and PEG as 'stability' detergents (Kotov); glucosides weaker on IMAC (Högbom),Lin/Kotov/Högbom first-line helical IMP extract (DDM)
NYCOMPS-GO.2255,tt_expressed_not_purified,deprioritize,0.4074,0.35,0,,"low purify score, not WRAP-amenable, no obvious construct lever",1% w/v DDM,0.03% w/v DDM (IMAC/SEC),LMNG / DMNG / GDN,fos-choline and PEG as 'stability' detergents (Kotov); glucosides weaker on IMAC (Högbom),Lin/Kotov/Högbom first-line helical IMP extract (DDM)
NYCOMPS-GO.4042,tt_expressed_not_purified,deprioritize,0.4756,0.35,0,,"low purify score, not WRAP-amenable, no obvious construct lever",1% w/v DDM,0.03% w/v DDM (IMAC/SEC),LMNG / DMNG / GDN,fos-choline and PEG as 'stability' detergents (Kotov); glucosides weaker on IMAC (Högbom),Lin/Kotov/Högbom first-line helical IMP extract (DDM)
NYCOMPS-GO.19412,tt_expressed_not_purified,redesign,0.4577,0.15,0,trim a long extramembrane loop,trim a long extramembrane loop,1% w/v DDM,0.03% w/v DDM (IMAC/SEC),LMNG / DMNG / GDN,fos-choline and PEG as 'stability' detergents (Kotov); glucosides weaker on IMAC (Högbom),Lin/Kotov/Högbom first-line helical IMP extract (DDM)
NYCOMPS-GO.12684,tt_expressed_not_purified,redesign,0.3994,0.15,0,trim a long extramembrane loop,trim a long extramembrane loop,1% w/v DDM,0.03% w/v DDM (IMAC/SEC),LMNG / DMNG / GDN,fos-choline and PEG as 'stability' detergents (Kotov); glucosides weaker on IMAC (Högbom),Lin/Kotov/Högbom first-line helical IMP extract (DDM)
TransportPDB-0280,tt_expressed_not_purified,redesign,0.5311,0.25,0,shorten or split the construct; drop sequons or use a prokaryotic host; reduce disulfides / skip eukaryotic folding; trim a long extramembrane loop,shorten or split the construct; drop sequons or use a prokaryotic host; reduce disulfides / skip eukaryotic folding; trim a long extramembrane loop,1% w/v DDM,0.03% w/v DDM (IMAC/SEC),LMNG / DMNG / GDN,fos-choline and PEG as 'stability' detergents (Kotov); glucosides weaker on IMAC (Högbom),Lin/Kotov/Högbom first-line helical IMP extract (DDM)
NYCOMPS-GO.7188,tt_expressed_not_purified,redesign,0.5331,0.35,0,trim a long extramembrane loop,trim a long extramembrane loop,1% w/v DDM,0.03% w/v DDM (IMAC/SEC),LMNG / DMNG / GDN,fos-choline and PEG as 'stability' detergents (Kotov); glucosides weaker on IMAC (Högbom),Lin/Kotov/Högbom first-line helical IMP extract (DDM)
NYCOMPS-GO.15426,tt_expressed_not_purified,wrap_rescue,0.5178,0.65,1,drop sequons or use a prokaryotic host; reduce disulfides / skip eukaryotic folding; trim a long extramembrane loop,standard purify looks unlikely; termini/TM belt look WRAP-amenable,1% w/v DDM,0.03% w/v DDM (IMAC/SEC),LMNG / DMNG / GDN,fos-choline and PEG as 'stability' detergents (Kotov); glucosides weaker on IMAC (Högbom),Lin/Kotov/Högbom first-line helical IMP extract (DDM)
