accession,source,action,p_purify,wrap_score,wrap_amenable,levers,why
fix0,fixture,standard,0.899,0.95,1,add a fusion-able N- or C-terminus,sequence resembles TargetTrack purified (given expression)
fix1,fixture,standard,0.9975,0.95,1,,sequence resembles TargetTrack purified (given expression)
fix2,fixture,wrap_rescue,0.0776,0.95,1,add a fusion-able N- or C-terminus,standard purify looks unlikely; termini/TM belt look WRAP-amenable
fix3,fixture,standard,0.7987,0.8,0,add a fusion-able N- or C-terminus,sequence resembles TargetTrack purified (given expression)
fix4,fixture,standard,0.9982,0.95,1,,sequence resembles TargetTrack purified (given expression)
fix5,fixture,redesign,0.0334,0.8,0,add a fusion-able N- or C-terminus,add a fusion-able N- or C-terminus
fix6,fixture,standard,0.848,0.8,0,add a fusion-able N- or C-terminus,sequence resembles TargetTrack purified (given expression)
fix7,fixture,standard,0.9905,0.95,1,,sequence resembles TargetTrack purified (given expression)
fix8,fixture,wrap_rescue,0.0751,0.95,1,add a fusion-able N- or C-terminus,standard purify looks unlikely; termini/TM belt look WRAP-amenable
fix9,fixture,standard,0.7274,0.8,0,add a fusion-able N- or C-terminus,sequence resembles TargetTrack purified (given expression)
fix10,fixture,standard,0.9798,0.95,1,,sequence resembles TargetTrack purified (given expression)
fix11,fixture,wrap_rescue,0.0768,0.95,1,add a fusion-able N- or C-terminus,standard purify looks unlikely; termini/TM belt look WRAP-amenable
fix12,fixture,standard,0.6744,0.8,0,add a fusion-able N- or C-terminus,sequence resembles TargetTrack purified (given expression)
fix13,fixture,standard,0.9996,0.95,1,,sequence resembles TargetTrack purified (given expression)
fix14,fixture,wrap_rescue,0.0197,0.95,1,,standard purify looks unlikely; termini/TM belt look WRAP-amenable
fix15,fixture,redesign,0.5162,0.8,0,add a fusion-able N- or C-terminus,add a fusion-able N- or C-terminus
fix16,fixture,standard,0.9984,0.95,1,,sequence resembles TargetTrack purified (given expression)
fix17,fixture,wrap_rescue,0.0663,0.95,1,,standard purify looks unlikely; termini/TM belt look WRAP-amenable
fix18,fixture,standard,0.7956,0.8,0,add a fusion-able N- or C-terminus,sequence resembles TargetTrack purified (given expression)
fix19,fixture,standard,0.9961,0.95,1,,sequence resembles TargetTrack purified (given expression)
fix20,fixture,redesign,0.0497,0.8,0,add a fusion-able N- or C-terminus,add a fusion-able N- or C-terminus
fix21,fixture,standard,0.6004,0.8,0,add a fusion-able N- or C-terminus,sequence resembles TargetTrack purified (given expression)
fix22,fixture,standard,0.9819,0.95,1,,sequence resembles TargetTrack purified (given expression)
fix23,fixture,wrap_rescue,0.1187,0.95,1,add a fusion-able N- or C-terminus,standard purify looks unlikely; termini/TM belt look WRAP-amenable
fix24,fixture,standard,0.8492,0.8,0,add a fusion-able N- or C-terminus,sequence resembles TargetTrack purified (given expression)
fix25,fixture,standard,0.9919,0.95,1,,sequence resembles TargetTrack purified (given expression)
fix26,fixture,redesign,0.1553,0.8,0,add a fusion-able N- or C-terminus,add a fusion-able N- or C-terminus
fix27,fixture,standard,0.7711,0.8,0,add a fusion-able N- or C-terminus,sequence resembles TargetTrack purified (given expression)
fix28,fixture,standard,0.9977,0.95,1,,sequence resembles TargetTrack purified (given expression)
