gene,Length,gfp_ml,label,cterm,n_tm
AarF,547,449.954868421053,0,no,-
AbgT,511,2.95104166666667,0,no,-
AbrB,349,1118.0,0,no,-
AcrB,1050,4012.73729166667,1,in,11
Aer,507,2018.60184758772,0,in,1
AfuB,116,1182.40677631579,0,in,2
AgaC,268,6278.45007675439,1,in,7
AgaD,264,11.7236979166667,0,out,5
AgaW,126,662.62,0,in,3
AlsC,327,2251.09695664414,0,in,9
AmpE,285,52.3362143640351,0,out,4
AmpG,492,5543.81355263158,1,in,14
AmtB,429,1432.3161129386,0,in,12
AppB,379,1944.17421600877,0,in,8
AqpZ,232,1482.93308662281,0,in,6
AraE,473,3936.77539473684,1,in,12
AraH,330,1134.15467105263,0,in,10
AraJ,395,9320.09542489035,1,in,12
AroP,458,5527.28054476351,1,in,12
ArsB,430,25.9076315789474,0,out,11
ArtM,223,2400.11586622807,0,in,5
ArtQ,239,2484.60574835526,0,in,3
AtoE,441,224.39506615991,0,out,10
AtpB,272,1048.33255756579,0,in,5
AtpI,127,6263.1275,1,in,4
BacA,274,12.9933360745614,0,no,-
BasS,364,8591.8576196509,1,in,2
Bcr,397,4797.28679002193,1,in,12
BglF,626,5959.62284539474,1,in,10
BrnQ,440,3432.72945242117,1,in,12
CcmB,221,2864.49851425439,1,in,6
CcmC,246,6659.35951754386,1,in,6
CcmH,351,2628.16130489865,1,out,3
CdsA,286,164.607565789474,0,out,7
ChaA,367,3.96565789473684,0,out,11
ChbC,453,9501.25873310811,1,in,10
Cld,327,332.663706362613,0,in,2
Cls,487,332.943041948198,0,no,-
Cmr,411,8105.04785910088,1,in,12
CobS,248,8.03838541666667,0,no,-
CodB,420,11325.1464638158,1,in,12
CorA,317,1333.93377741228,0,in,2
CpxA,458,2273.88256578947,0,in,2
CrcB,128,1197.47828947368,0,out,4
CreC,475,7452.16045748874,1,in,2
CreD,451,983.377549342105,0,in,5
CstA,702,4004.86379934211,1,in,18
CvpA,163,24.1341447368421,0,out,4
CybB,177,2631.135,1,in,4
CycA,471,7386.0,1,in,12
CydA,524,1784.83260416667,0,in,9
CydB,380,4307.92768640351,1,in,8
CynX,385,958.675493421053,0,no,-
CyoB,664,1529.31578947368,0,in,15
CyoC,205,1175.76058936403,0,out,5
CyoD,110,17.850921052631602,0,out,3
CyoE,297,39.1279358552632,0,out,9
CysU,278,408.24054002193,0,in,7
CysZ,254,6243.010625,1,in,4
DctA,429,1630.0,0,in,8
DcuA,434,822.301061373874,0,out,11
DcuC,462,5.09980263157895,0,out,12
DcuS,544,1880.03944078947,0,in,2
DedA,220,6190.93864035088,1,in,4
DgkA,123,3.53657894736842,0,out,3
DgoT,431,9568.34516721491,1,in,11
DinF,460,189.503157894737,0,no,-
DipZ,490,11.75,0,out,7
DmsC,288,366.215598254504,0,out,8
DppB,340,3392.96737894144,1,in,6
DppC,301,6522.61624296171,1,in,5
DsbB,177,3901.41276315789,1,in,4
DsdX,446,21.3163668355856,0,out,12
EmrB,513,3170.54465734649,1,in,12
EmrD,395,3910.72928179825,1,in,12
EmrE,111,191.049671052632,0,out,4
EnvZ,451,2997.7212767455,1,in,2
ExbB,245,8090.16546052632,1,in,3
ExuT,473,11515.6266399212,1,in,11
FdnI,218,5365.79527138158,1,in,4
FdoI,212,5740.1351069079,1,in,4
FecC,333,3145.0,1,in,8
FecD,319,1777.36876689189,0,in,7
FeoB,774,4562.01381304825,1,in,10
FepD,335,7701.93204954955,1,in,9
FepE,378,1714.86589089912,0,in,2
FepG,331,6763.99227759009,1,in,8
FlhB,383,2761.30125,1,in,4
FliF,553,501.281326754386,0,no,-
FliP,246,452.747195723684,0,no,-
FliR,262,90.0452631578948,0,no,-
FocA,286,1215.78444627193,0,in,6
FocB,283,1621.04802357456,0,in,6
FrdD,120,12.5324342105263,0,out,3
FrvB,484,2.06864583333333,0,in,9
Fsr,407,6824.2437691886,1,in,10
FtsW,415,3212.48497807017,1,in,10
FtsX,353,6192.03582911036,1,in,4
FucP,439,5160.1277631579,1,in,12
FxsA,159,2901.12177631579,1,in,3
GabP,467,7476.46485501126,1,in,12
GlnP,220,2326.50009320175,0,in,3
GlpG,277,4373.98290570176,1,in,6
GlpT,453,4373.26506475225,1,in,12
GltJ,247,1615.68190515351,0,in,5
GltK,225,4365.89300164474,1,in,5
GltP,438,1087.97164473684,0,in,10
GltS,402,239.606828399123,0,out,8
GlvC,369,180.43782620614,0,out,8
GntU,447,156.0,0,out,11
GspF,399,1335.0,0,out,3
GspO,226,270.11897752193,0,out,7
HdeD,191,8469.8790131579,1,in,6
HemY,399,6740.89072916667,1,in,2
HisM,239,2012.36273026316,0,in,4
HisQ,229,1848.64653508772,0,in,5
HofC,401,92.7909183114035,0,out,3
HrsA,659,4155.46337719298,1,in,9
HtpX,294,18277.2995115428,1,in,4
HyaA,373,13570.1688157895,1,in,2
HyaC,236,7206.79403782895,1,in,4
HybB,393,3974.68110197368,1,in,10
HycD,308,75.5711880630631,0,out,8
HydH,466,999.288789414414,0,in,2
HyfC,316,41.459477759009,0,out,8
HyfD,480,7.74919481981982,0,no,-
HyfE,217,2630.80188870614,1,in,7
Kch,418,6390.23411458333,1,in,6
KdgT,328,3037.94332347973,1,in,10
KdpD,895,2802.36225054825,1,in,4
KefC,621,3479.15847039474,1,in,13
LacY,418,5744.52117324561,1,in,10
LepB,325,101.701230292793,0,out,2
Lgt,292,12071.1971255631,1,in,5
LivH,309,2259.74990146396,0,in,9
LspA,165,10403.4019736842,1,in,4
LysP,490,4368.64101492117,1,in,12
MalF,515,3986.64172423246,1,in,8
MalG,297,3492.44122747748,1,in,6
ManZ,287,88.033947368421,0,out,2
MarC,222,212.996907894737,0,out,6
MdlB,594,2798.32914473684,1,in,5
MdoH,848,4763.67753289474,1,in,6
MelB,470,8013.73425394144,1,in,12
MglC,337,4206.37476914414,1,in,9
MhpT,404,931.960871710526,0,in,12
ModB,230,1869.8225,0,in,5
MotA,296,2277.90870073198,0,in,4
MraY,361,1.13131578947369,0,out,10
MrdB,371,3049.20817982456,1,in,9
MreD,163,3390.93855263158,1,in,5
MscL,137,4137.07611842105,1,in,2
Mtr,415,21.942420504386,0,out,11
NanT,497,6950.1798071509,1,in,12
NarI,226,5439.31307291667,1,in,5
NarK,464,3001.2089794482,1,in,12
NarV,227,3333.88648574561,1,in,5
NhaA,389,5340.69236842105,1,in,11
NhaB,514,0.186644736842107,0,no,-
NikB,315,2814.03062225877,1,in,6
NikC,278,1811.19669682018,0,in,6
NirC,269,3990.16651589912,1,in,6
NorM,458,10795.8586725788,1,in,12
